service_id,date,exception_type
13,20231029,1
13,20231105,1
13,20231112,1
13,20231119,1
13,20231126,1
13,20231203,1
13,20231210,1
13,20231217,1
13,20231224,1
13,20231231,1
13,20240107,1
14,20230916,1
14,20230923,1
15,20231006,1
15,20231013,1
15,20231020,1
15,20231027,1
15,20231103,1
15,20231110,1
15,20231117,1
15,20231124,1
15,20231201,1
15,20231208,1
15,20231215,1
15,20231222,1
15,20231229,1
15,20240105,1
16,20231002,1
16,20231003,1
16,20231004,1
16,20231005,1
16,20231009,1
16,20231010,1
16,20231011,1
16,20231012,1
16,20231016,1
16,20231017,1
16,20231018,1
16,20231019,1
16,20231023,1
16,20231024,1
16,20231025,1
16,20231026,1
16,20231030,1
16,20231031,1
16,20231101,1
16,20231102,1
16,20231106,1
16,20231107,1
16,20231108,1
16,20231109,1
16,20231113,1
16,20231114,1
16,20231115,1
16,20231116,1
16,20231120,1
16,20231121,1
16,20231122,1
16,20231123,1
16,20231127,1
16,20231128,1
16,20231129,1
16,20231130,1
16,20231204,1
16,20231205,1
16,20231206,1
16,20231207,1
16,20231211,1
16,20231212,1
16,20231213,1
16,20231214,1
16,20231218,1
16,20231219,1
16,20231220,1
16,20231221,1
16,20231225,1
16,20231226,1
16,20231227,1
16,20231228,1
16,20240101,1
16,20240102,1
16,20240103,1
16,20240104,1
17,20231002,1
17,20231003,1
17,20231004,1
17,20231005,1
17,20231006,1
17,20231009,1
17,20231010,1
17,20231011,1
17,20231012,1
17,20231013,1
17,20231016,1
17,20231017,1
17,20231018,1
17,20231019,1
17,20231020,1
17,20231023,1
17,20231024,1
17,20231025,1
17,20231026,1
17,20231027,1
17,20231030,1
17,20231031,1
17,20231101,1
17,20231102,1
17,20231103,1
17,20231106,1
17,20231107,1
17,20231108,1
17,20231109,1
17,20231110,1
17,20231113,1
17,20231114,1
17,20231115,1
17,20231116,1
17,20231117,1
17,20231120,1
17,20231121,1
17,20231122,1
17,20231123,1
17,20231124,1
17,20231127,1
17,20231128,1
17,20231129,1
17,20231130,1
17,20231201,1
17,20231204,1
17,20231205,1
17,20231206,1
17,20231207,1
17,20231208,1
17,20231211,1
17,20231212,1
17,20231213,1
17,20231214,1
17,20231215,1
17,20231218,1
17,20231219,1
17,20231220,1
17,20231221,1
17,20231222,1
17,20231225,1
17,20231226,1
17,20231227,1
17,20231228,1
17,20231229,1
17,20240101,1
17,20240102,1
17,20240103,1
17,20240104,1
17,20240105,1
18,20230715,1
18,20230722,1
18,20230729,1
18,20230805,1
18,20230812,1
18,20230819,1
18,20230826,1
18,20230902,1
19,20230716,1
19,20230723,1
19,20230730,1
19,20230806,1
19,20230813,1
19,20230820,1
19,20230827,1
19,20230903,1
20,20230712,1
20,20230713,1
20,20230714,1
20,20230717,1
20,20230718,1
20,20230719,1
20,20230720,1
20,20230721,1
20,20230724,1
20,20230725,1
20,20230726,1
20,20230727,1
20,20230728,1
20,20230731,1
20,20230801,1
20,20230802,1
20,20230803,1
20,20230804,1
20,20230807,1
20,20230808,1
20,20230809,1
20,20230810,1
20,20230811,1
20,20230814,1
20,20230815,1
20,20230816,1
20,20230817,1
20,20230818,1
20,20230821,1
20,20230822,1
20,20230823,1
20,20230824,1
20,20230825,1
20,20230828,1
20,20230829,1
20,20230830,1
20,20230831,1
20,20230901,1
20,20230904,1
